citycode,cityname,statecode,countrycode,latitude,longitude,active,searchorigin,searchdestination,wtforigin,wtfdestination
cit,cityName,st,co,(null),(null),(null),(null),(null),(null),(null)
SDG,Sanandaj,,IR,35.25083333333333,47.01111111111111,1,0,0,0,0
SDH,Santa Rosa Copan,,HN,14.816666666666666,-88.75,0,0,0,0,0
SDI,Saidor,,PG,-5.616666666666667,146.46666666666667,0,0,0,0,0
SDJ,Sendai,,JP,38.13972222222222,140.91694444444443,1,465301,548258,395,386
SDK,Sandakan,,MY,5.9013888888888895,118.0611111111111,1,406225,401122,173,176
SDL,Sundsvall/Harnosand,,SE,62.528055555555554,17.44388888888889,1,17070,20320,135,152
SDN,Sandane,,NO,61.830000000000005,6.1075,1,2826,2840,175,180
SDP,Sand Point,AK,US,55.315,-160.5227777777778,1,130,140,59,66
SDQ,Santo Domingo,,DO,18.466666666666665,-69.9,1,1600952,2112689,3113,3136
SDR,Santander,,ES,43.426944444444445,-3.82,1,468734,369569,415,487
SDS,Sado,,JP,38.06111111111111,138.4138888888889,0,0,0,0,0
SDT,Saidu Sharif,,PK,34.81361111111111,72.35277777777777,0,0,0,0,0
SDW,Malvan,MH,IN,16.003055555555555,73.53277777777778,1,0,0,1,1
SDX,Sedona,AZ,US,34.849444444444444,-111.78777777777778,0,0,3,0,0
SDY,Sidney,MT,US,47.705000000000005,-104.19638888888889,1,3986,6784,30,30
SDZ,Shetland Islands,,GB,60.5,-1.0,1,10284,23106,491,520
SEA,Seattle,WA,US,47.45,-122.3,1,11079485,8889989,89490,81574
SEB,Sebha,,LY,26.986944444444447,14.4725,1,2,0,4,3
SED,Sedom,,IL,31.15,35.38333333333333,0,0,0,0,0
SEF,Sebring,FL,US,27.45,-81.35,0,0,0,0,0
SEG,Selinsgrove,PA,US,40.821111111111115,-76.86416666666666,0,0,0,0,0
SEH,Senggeh,,ID,-3.4333333333333336,140.81666666666666,0,0,0,0,0
SEK,Srednekolymsk,,RU,67.47472222222223,153.72944444444445,1,0,0,8,8
SEL,Seoul,,KR,37.516666666666666,126.93333333333334,1,50837533,46558515,9500,9623
SEM,Selma,AL,US,32.35,-86.98333333333333,0,0,0,0,0
SEO,Seguela,,CI,7.958888888888889,-6.644722222222222,0,0,0,0,0
SEP,Stephenville,TX,US,32.21666666666667,-98.18333333333334,0,0,0,0,0
SEQ,Bengkalis,,ID,1.3666666666666667,102.13333333333334,0,0,0,0,0
SER,Seymour,IN,US,38.95,-85.88333333333334,0,0,0,0,0
SES,Svetlogorsk,,RU,66.84305555555555,88.40916666666668,1,0,0,8,8
SET,Santa Magalhaes,PE,BR,-8.0625,-38.32611111111112,1,143,211,5,5
SEU,Seronera,,TZ,-2.4572222222222218,34.82194444444445,1,1409,1398,592,522
SEV,Severodonetsk,,UA,48.9,38.55,0,0,0,0,0
SEW,Siwa Oasis,,EG,29.34611111111111,25.50583333333333,1,0,0,0,0
SEY,Selibabi,,MR,15.183333333333334,-12.2,0,0,0,0,0
SEZ,Mahe Island,,SC,-4.674444444444445,55.52194444444444,1,313793,572120,1185,1091
SFA,Sfax,,TN,34.71805555555556,10.69111111111111,1,1654,1503,43,41
SFC,St Francois,,GP,16.25777777777778,-61.2625,0,0,0,0,0
SFD,San Fernando Apure,,VE,7.883333333333333,-67.44388888888889,1,0,0,2,2
SFE,San Fernando,,PH,16.595555555555553,120.30333333333333,0,0,0,0,0
SFG,St Martin,,MF,18.100833333333334,-63.049166666666665,1,5773,76177,47,85
SFH,San Felipe,,MX,30.93027777777778,-114.8086111111111,0,0,0,0,0
SFJ,Kangerlussuaq,,GL,67.01694444444445,-50.68944444444444,1,0,0,3926,4040
SFK,Soure,PA,BR,-0.7,-48.516666666666666,0,0,0,0,0
SFL,Sao Filipe,,CV,14.886666666666667,-24.481944444444444,1,0,0,8,8
SFM,Sanford,ME,US,43.39222222222222,-70.70777777777778,0,0,0,0,0
SFN,Santa Fe,SF,AR,-31.710833333333333,-60.811388888888885,1,10365,17727,22,30
SFO,San Francisco,CA,US,37.61888888888889,-122.39166666666668,1,20584422,17278625,67989,69016
SFP,Surfers Paradise,QL,AU,-28.0,153.43333333333334,0,0,0,0,0
SFQ,Sanliurfa,,TR,37.094166666666666,38.84722222222222,0,23076,40705,0,0
SFS,Subic Bay,,PH,14.794444444444444,120.2713888888889,1,0,0,0,0
SFT,Skelleftea,,SE,64.62472222222222,21.076944444444443,1,98423,90199,1056,1097
SFU,Safia,,PG,-9.583333333333334,148.63333333333333,0,0,0,0,0
SFV,Santa Fe do Sul,SP,BR,-20.216666666666665,-50.93333333333333,0,0,0,0,0
SFX,San Felix,,VE,8.35,-62.63333333333333,0,0,0,0,0
SFY,Springfield,MA,US,42.11666666666667,-72.58333333333333,1,46,36,0,0
SFZ,Pawtucket,RI,US,41.920833333333334,-71.49138888888889,0,0,0,0,0
SGA,Sheghnan,,AF,38.03333333333333,71.71666666666667,0,0,0,0,0
SGB,Singaua,,PG,-6.7,147.13333333333333,0,0,0,0,0
SGC,Surgut,,RU,61.343611111111116,73.40194444444445,1,62292,33094,212,209
SGD,Sonderborg,,DK,55.81666666666667,8.3,1,969,878,58,51
SGE,Siegen,,DE,50.86666666666667,8.033333333333333,0,0,0,0,0
SGF,Springfield,MO,US,37.245555555555555,-93.38861111111112,1,164146,144937,2324,1812
SGG,Sermiligaaq,,GL,65.90583333333333,-36.37833333333333,1,0,0,0,0
SGH,Springfield,OH,US,39.93333333333333,-83.81666666666666,0,0,0,0,0
SGI,Sargodha,,PK,32.083333333333336,72.66666666666667,1,0,0,0,0
SGJ,Sagarai,,PG,-10.383333333333333,149.83333333333334,0,0,0,0,0
SGK,Sangapi,,PG,-5.083333333333333,144.76666666666668,0,0,0,0,0
SGM,San Ignacio,,MX,27.283333333333335,-112.93333333333334,0,0,0,0,0
SGN,Ho Chi Minh City,,VN,10.818888888888889,106.65194444444445,1,13059026,15791629,15580,16288
SGO,St George,QL,AU,-28.049722222222226,148.5952777777778,1,184,157,4,4
SGP,Shay Gap,WA,AU,-20.483333333333334,120.1,0,0,0,0,0
SGQ,Sanggata,,ID,0.5,117.33333333333333,0,0,0,0,0
SGT,Stuttgart,AR,US,34.6,-91.56666666666666,0,0,0,0,0
SGU,St George,UT,US,37.09055555555556,-113.59305555555555,1,32505,34527,170,174
SGV,Sierra Grande,RN,AR,-41.5,-65.35,0,0,0,0,0
SGW,Saginaw,AK,US,56.86666666666667,-134.15,0,0,0,0,0
SGX,Songea,,TZ,-10.683333333333334,35.583333333333336,1,120,179,2,2
SGY,Skagway,AK,US,59.46055555555556,-135.3163888888889,1,478,479,142,118
SGZ,Songkhla,,TH,7.333333333333333,100.53333333333333,1,0,0,0,0
SHA,Shanghai,,CN,31.1,121.36666666666666,1,29451002,27867432,16993,16885
SHB,Nakashibetsu,,JP,43.5775,144.95999999999998,1,10327,9647,24,23
SHC,Inda Selassie,,ET,14.079444444444444,38.271388888888886,1,611,1458,11,10
SHD,Staunton/Waynesborough,VA,US,38.261944444444445,-78.89861111111112,1,7331,5626,10,12
SHE,Shenyang,,CN,41.63972222222222,123.48333333333333,1,1783749,2233773,3182,3186
SHF,Shihezi,,CN,44.269444444444446,86.0625,1,368,458,58,62
SHG,Shungnak,AK,US,66.88805555555557,-157.1625,1,3,1,4,4
SHH,Shishmaref,AK,US,66.24944444444445,-166.08944444444447,1,3,30,3,4
SHI,Miyakojima,,JP,24.827222222222222,125.14500000000001,1,7686,6944,13,13
SHJ,Sharjah,,AE,25.328611111111112,55.51722222222222,1,4002646,4437131,1786,6584
SHK,Sehonghong,,LS,-29.716666666666665,28.766666666666666,0,0,0,0,0
SHL,Shillong,ML,IN,25.703611111111112,91.9775,1,3740,11204,24,25
SHM,Shirahama,,JP,33.66222222222222,135.36444444444444,1,12814,12293,69,48
SHN,Shelton,WA,US,47.24166666666667,-123.13333333333334,0,0,0,0,0
SHO,Manzini,,SZ,-26.356944444444444,31.71722222222222,1,2949,5100,96,82
SHQ,Southport,QL,AU,-27.951944444444443,153.41777777777776,0,0,0,0,0
SHR,Sheridan,WY,US,44.76916666666666,-106.98027777777779,1,7416,7370,16,17
SHS,Jingzhou,,CN,30.301944444444445,112.44888888888889,1,6803,9741,115,115
SHT,Shepparton,VI,AU,-36.43333333333333,145.4,0,0,0,0,0
SHU,Smith Point,NT,AU,-11.166666666666666,133.83333333333334,0,0,0,0,0
SHV,Shreveport,LA,US,32.45,-93.81666666666666,1,100471,79243,2290,1425
SHW,Sharurah,,SA,17.466944444444444,47.12138888888889,1,11828,12172,98,98
SHX,Shageluk,AK,US,62.692499999999995,-159.56916666666666,1,0,0,2,2
SHY,Shinyanga,,TZ,-3.6,33.5,0,0,0,0,0
SHZ,Seshote,,LS,-30.583333333333332,28.0,0,0,0,0,0
SIA,Xi'an,,CN,34.25,108.86666666666666,1,2300747,2541755,5555,5553
SIB,Sibiti,,CG,-3.7333333333333334,13.4,0,0,0,0,0
SIC,San Jose Island,,PA,8.262222222222222,-79.07777777777777,0,0,0,0,0
SID,Sal Island,,CV,16.74138888888889,-22.949444444444445,1,79664,190996,1477,2252
SIE,Sines,,PT,37.95,-8.866666666666667,0,0,0,0,0
SIF,Simara,,NP,27.159444444444443,84.98,1,1415,1895,9,9
SIH,Silgadi Doti,,NP,29.266666666666666,80.98333333333333,0,0,0,0,0
SII,Sidi Ifni,,MA,29.366666666666667,-10.183333333333334,0,0,0,0,0
SIJ,Siglufjordur,,IS,66.13333333333334,-18.916666666666668,0,0,0,0,0
SIK,Sikeston,MO,US,36.88333333333333,-89.56666666666666,0,0,0,0,0
SIL,Sila,,PG,-9.116666666666667,148.4,0,0,0,0,0
SIM,Simbai,,PG,-5.266666666666667,144.53333333333333,0,0,0,0,0
SIN,Singapore,,SG,1.2916666666666665,103.85,1,32908154,29924332,14839,15121
SIO,Smithton,TS,AU,-40.833333333333336,145.08333333333334,0,0,0,0,0
SIP,Simferopol,,UA,45.05222222222222,33.973888888888894,0,0,0,0,0
SIQ,Singkep,,ID,-0.48333333333333334,104.58333333333333,0,0,0,0,0
SIR,Sion,,CH,46.222500000000004,7.34,1,1891,3437,7,7
SIS,Sishen,,ZA,-27.65,23.0,1,2023,2288,91,100
SIT,Sitka,AK,US,57.04722222222222,-135.36166666666665,1,8093,10154,501,427
SIU,Siuna,,NI,13.72888888888889,-84.7775,0,0,0,0,0
SIV,Sullivan,IN,US,39.1,-87.4,0,0,0,0,0
SIW,Parapat,,ID,2.5833333333333335,98.93333333333334,0,0,0,0,0
SIX,Singleton,NS,AU,-32.56666666666667,151.16666666666666,0,0,0,0,0
SIY,Montague/Yreka,CA,US,41.733333333333334,-122.53333333333333,1,0,0,0,0
SIZ,Sissano,,PG,-3.0,142.05,0,0,0,0,0
SJA,San Juan,,PE,-15.35,-75.15,0,0,0,0,0
SJB,San Joaquin,,BO,-13.083333333333334,-64.8,0,0,0,0,0
SJC,San Jose,CA,US,37.35277777777778,-121.91944444444445,1,1439626,971883,12264,11652
SJD,San Jose Cabo,,MX,23.151944444444442,-109.72111111111111,1,1114125,1780001,4346,3908
SJE,San Jose del Guaviare,,CO,2.5797222222222222,-72.63944444444445,1,423,970,31,30
SJF,St John Island,,VI,18.333333333333332,-64.75,0,0,0,0,0
SJG,San Pedro de Jagua,,CO,4.65,-73.33333333333333,0,0,0,0,0
SJH,San Juan del Cesar,,CO,10.766666666666667,-73.01666666666667,0,0,0,0,0
SJI,San Jose,,PH,12.361388888888888,121.04666666666667,1,0,0,3,4
SJJ,Sarajevo,,BA,43.82472222222223,18.33138888888889,1,611022,824012,960,963
SJK,Sao Jose dos Campos,SP,BR,-23.228055555555553,-45.86277777777778,1,22,3,1,1
SJL,Sao Gabriel Cachoeira,AM,BR,-0.14972222222222223,-66.98666666666666,1,129,212,6,4
SJN,St Johns,AZ,US,34.516666666666666,-109.38333333333334,0,0,0,0,0
SJO,San Jose,,CR,9.933333333333334,-84.1,1,2803365,3451525,6044,5571
SJP,Sao Jose do Rio Preto,SP,BR,-20.816666666666666,-49.406388888888884,1,184730,132671,553,368
SJQ,Sesheke,,ZM,-17.45,24.366666666666667,0,0,0,0,0
SJR,San Juan de Uraba,,CO,8.766666666666667,-76.53333333333333,0,0,0,0,0
SJS,San Jose de Chiquitos,,BO,-17.830277777777777,-60.74333333333333,0,0,0,0,0
